Tool,Version,SBOM_Count,SBOM_format
CycloneDX Maven plugin,2.8.1,80,XML
CycloneDX Maven plugin,2.8.0,1642,XML
CycloneDX Maven plugin,2.7.11,397,XML
CycloneDX Maven plugin,2.7.10,604,XML
CycloneDX Maven plugin,2.7.9,1713,XML
CycloneDX Maven plugin,2.7.8,8,XML
CycloneDX Maven plugin,2.7.7,91,XML
CycloneDX Maven plugin,2.7.6,108,XML
CycloneDX Maven plugin,2.7.5,463,XML
CycloneDX Maven plugin,2.7.4,114,XML
CycloneDX Maven plugin,2.7.3,217,XML
CycloneDX Maven plugin,2.7.2,16,XML
CycloneDX Maven plugin,2.7.1,859,XML
CycloneDX Maven plugin,2.7.0,28,XML
CycloneDX Maven plugin,2.6.2,66,XML
CycloneDX Maven plugin,2.6.1,3,XML
CycloneDX Maven plugin,2.5.3,442,XML
CycloneDX Maven plugin,2.5.2,1,XML
CycloneDX Maven plugin,2.5.1,3,XML
CycloneDX Maven plugin,2.4.0,2,XML
CycloneDX Maven plugin,2.3.0,1,XML
CycloneDX Maven plugin,2.2.0,2,XML
CycloneDX Maven plugin,2.1.1,3,XML
CycloneDX Maven plugin,2.0.2,1,XML
Cyclonedx Gradle plugin,1.8.2,23,XML
Cyclonedx Gradle plugin,1.8.1,4,XML
Cyclonedx Gradle plugin,1.7.4,44,XML
Cyclonedx Gradle plugin,1.7.3,2,XML
cycloneDx Maven plugin,2.8.1,80,JSON
CycloneDX Maven plugin,2.8.0,1637,JSON
CycloneDX Maven plugin,2.7.11,405,JSON
CycloneDX Maven plugin,2.7.10,495,JSON
CycloneDX Maven plugin,2.7.9,1627,JSON
CycloneDX Maven plugin,2.7.8,8,JSON
CycloneDX Maven plugin,2.7.7,91,JSON
CycloneDX Maven plugin,2.7.6,99,JSON
CycloneDX Maven plugin,2.7.5,463,JSON
CycloneDX Maven plugin,2.7.4,114,JSON
CycloneDX Maven plugin,2.7.3,217,JSON
CycloneDX Maven plugin,2.7.2,16,JSON
CycloneDX Maven plugin,2.7.1,859,JSON
CycloneDX Maven plugin,2.7.0,28,JSON
CycloneDX Maven plugin,2.6.2,66,JSON
CycloneDX Maven plugin,2.6.1,3,JSON
CycloneDX Maven plugin,2.5.3,442,JSON
CycloneDX Maven plugin,2.5.2,1,JSON
CycloneDX Maven plugin,2.5.1,3,JSON
CycloneDX Maven plugin,2.4.0,2,JSON
CycloneDX Maven plugin,2.3.0,1,JSON
CycloneDX Maven plugin,2.2.0,2,JSON
CycloneDX Maven plugin,2.1.1,3,JSON
CycloneDX Maven plugin,2.0.2,1,JSON
Cyclonedx Gradle plugin,1.8.2,28,JSON
Cyclonedx Gradle plugin,1.8.1,4,JSON
Cyclonedx Gradle plugin,1.7.4,44,JSON
Cyclonedx Gradle plugin,1.7.3,2,JSON
Cyclonedx Gradle plugin,1.6.1,2,JSON
${project.name} ${project.version},,5,JSON
SPDX Maven plugin,,20,XML
SPDX Maven plugin,,50,JSON
SPDX Gradle plugin,,314,JSON 
